                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0328,                 2.3915,                 1.5457,                 1.2439,                0.41922,                0.15531,                0.14622,                0.10831,                0.39371,                0.13853,                0.12874,                0.08782,                  1.424,                 3.4834,                 2.1459,                 1.5293,             0.00037159,             0.00037159,             0.00037159
                     25,                 1.0239,                 2.4037,                 1.5451,                 1.2344,                0.39854,                0.15325,                0.14774,                0.10827,                0.39914,                0.13905,                 0.1298,                0.08749,                  1.435,                 3.5508,                 2.2424,                 1.5711,             0.00036952,             0.00036952,             0.00036952
                     26,                   1.02,                 2.3472,                 1.5032,                 1.2286,                0.41262,                0.15958,                0.15016,                0.11143,                 0.3738,                 0.1448,                0.13107,                0.09339,                 1.4096,                 3.5873,                  2.145,                 1.5655,             0.00036746,             0.00036746,             0.00036746
                     27,                0.99996,                 2.3214,                 1.4662,                 1.2222,                0.39821,                0.16428,                0.15389,                0.11134,                 0.3811,                0.14369,                0.13526,                0.09073,                 1.4054,                 3.4895,                 2.1067,                 1.5554,              0.0003654,              0.0003654,              0.0003654
                     28,                 0.9925,                 2.3141,                  1.441,                 1.2127,                0.38935,                0.16416,                0.14956,                0.10831,                0.37709,                 0.1407,                0.12959,                0.08775,                 1.4601,                 3.5501,                 2.2361,                 1.6224,             0.00036333,             0.00036333,             0.00036333
                     29,                0.98548,                 2.3616,                 1.4525,                 1.2187,                0.38977,                0.15706,                0.14645,                0.10809,                0.40774,                0.13514,                0.12733,                0.08799,                 1.4059,                 3.4987,                 2.1125,                 1.5586,             0.00036127,             0.00036127,             0.00036127
                     30,                0.97574,                 2.2502,                 1.3812,                 1.1947,                0.36791,                0.16039,                0.13802,                0.10206,                0.40029,                0.13452,                0.11869,                0.08186,                  1.406,                 3.5965,                 2.2144,                 1.5621,              0.0003592,              0.0003592,              0.0003592
                     31,                0.97929,                 2.2752,                 1.3942,                 1.2022,                0.46356,                0.14808,                0.14934,                0.11035,                0.42691,                 0.1372,                0.13377,                 0.0905,                 1.3858,                 3.5705,                 2.1553,                 1.5396,             0.00035714,             0.00035714,             0.00035714
                     32,                0.95858,                 2.2256,                 1.3353,                 1.1906,                0.39801,                0.15975,                0.14949,                0.10698,                 0.3755,                0.14067,                0.13024,                0.08928,                 1.4214,                 3.5227,                 2.1154,                 1.5467,             0.00035508,             0.00035508,             0.00035508
                     33,                0.95809,                 2.2122,                 1.3378,                 1.1821,                0.40444,                 0.1574,                0.14527,                0.10839,                0.38308,                 0.1393,                 0.1275,                0.08717,                 1.3751,                  3.546,                 2.1718,                 1.5432,             0.00035301,             0.00035301,             0.00035301
                     34,                0.93822,                 2.1684,                 1.2979,                 1.1739,                0.41494,                0.16483,                0.14862,                0.11012,                0.38516,                0.15126,                0.13274,                0.08899,                 1.3809,                 3.4932,                 2.1145,                 1.5249,             0.00035095,             0.00035095,             0.00035095
                     35,                 0.9294,                 2.1303,                 1.2842,                 1.1657,                0.39337,                0.16159,                0.14604,                0.10727,                0.41971,                  0.143,                0.13036,                0.08741,                  1.403,                 3.5329,                 2.1719,                 1.5644,             0.00034888,             0.00034888,             0.00034888
                     36,                 0.9204,                 2.1446,                 1.2691,                 1.1592,                0.42116,                0.14455,                 0.1393,                0.10303,                0.38979,                0.13085,                0.12248,                0.08502,                 1.4248,                 3.6593,                  2.289,                 1.5853,             0.00034682,             0.00034682,             0.00034682
