                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3115,                 2.8673,                 2.3017,                 1.0462,                0.67426,                0.36868,                0.39998,                0.29416,                 0.6812,                0.35921,                0.38826,                0.25803,                 1.4426,                  3.124,                 2.2459,                 1.0781,             0.00037131,             0.00037131,             0.00037131
                     25,                 1.3039,                 2.8379,                 2.2955,                 1.0489,                 0.6967,                0.36967,                0.40213,                0.29885,                0.68592,                0.35857,                0.38739,                0.25784,                  1.422,                 3.1068,                 2.1997,                 1.0733,             0.00036923,             0.00036923,             0.00036923
                     26,                 1.2976,                 2.8036,                 2.2496,                 1.0421,                0.71275,                0.36639,                0.40112,                0.29634,                0.69688,                0.35859,                0.38874,                0.25662,                 1.4255,                  3.172,                 2.2371,                 1.0703,             0.00036715,             0.00036715,             0.00036715
                     27,                  1.285,                 2.8014,                 2.2081,                  1.037,                0.74007,                0.36741,                0.41259,                0.30488,                0.71957,                0.35818,                0.39773,                0.26253,                 1.4269,                  3.155,                 2.1644,                 1.0622,             0.00036508,             0.00036508,             0.00036508
                     28,                 1.2986,                 2.8182,                 2.1823,                  1.042,                 0.7221,                0.36442,                0.41178,                0.30778,                0.72214,                0.35236,                0.39648,                0.26896,                 1.3942,                 3.0806,                 2.1308,                 1.0503,               0.000363,               0.000363,               0.000363
                     29,                 1.2841,                 2.8343,                 2.1738,                 1.0366,                0.70103,                0.37169,                 0.4075,                0.30008,                0.69344,                0.36035,                0.39029,                0.25781,                 1.4265,                 3.1313,                 2.1896,                 1.0588,             0.00036092,             0.00036092,             0.00036092
                     30,                 1.2869,                  2.806,                 2.1429,                  1.034,                0.71737,                0.37645,                0.41469,                0.30673,                0.68869,                0.36465,                0.39556,                0.26129,                 1.4058,                 3.1391,                 2.1084,                  1.052,             0.00035885,             0.00035885,             0.00035885
                     31,                 1.2767,                 2.7688,                 2.1048,                 1.0239,                0.71946,                0.37251,                0.41122,                0.30729,                0.71496,                0.36423,                 0.3974,                0.26808,                 1.3849,                 3.0633,                 2.0768,                 1.0418,             0.00035677,             0.00035677,             0.00035677
                     32,                 1.2665,                 2.7713,                 2.0975,                 1.0217,                0.70062,                0.37975,                0.41707,                0.31181,                0.70614,                0.36533,                0.40187,                0.26851,                 1.3803,                 3.0595,                 2.0931,                  1.043,             0.00035469,             0.00035469,             0.00035469
                     33,                  1.255,                 2.7397,                 2.0726,                 1.0226,                0.75463,                0.37815,                0.42191,                0.31471,                0.74379,                0.36909,                0.40685,                 0.2685,                 1.3722,                 3.0671,                 2.0427,                 1.0426,             0.00035262,             0.00035262,             0.00035262
