                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1237,                  2.492,                 1.5057,                 1.1921,                0.67948,                0.31918,                0.36118,                0.25827,                0.67644,                0.31033,                0.34847,                 0.2299,                  1.286,                 2.7591,                   1.52,                 1.2719,             0.00037159,             0.00037159,             0.00037159
                     25,                 1.1125,                 2.4764,                 1.4908,                 1.1949,                0.65525,                 0.3367,                0.36478,                0.26447,                0.64174,                0.32911,                0.35265,                 0.2336,                 1.2816,                 2.7957,                 1.4995,                 1.2738,             0.00036952,             0.00036952,             0.00036952
                     26,                 1.1014,                 2.4585,                 1.4718,                 1.1896,                0.64054,                0.33904,                0.36217,                0.26292,                0.63083,                0.32731,                0.34684,                0.23046,                 1.2618,                 2.7415,                 1.5168,                 1.2592,             0.00036746,             0.00036746,             0.00036746
                     27,                 1.0858,                 2.4331,                 1.4309,                 1.1777,                0.63395,                0.33829,                0.37014,                0.26712,                0.62284,                0.33119,                0.35563,                0.23318,                 1.2805,                 2.7877,                 1.5043,                 1.2682,              0.0003654,              0.0003654,              0.0003654
                     28,                 1.1037,                 2.4423,                 1.4352,                 1.1835,                0.68146,                0.33431,                 0.3696,                 0.2686,                 0.6523,                0.32449,                0.35363,                0.23786,                 1.2492,                 2.7426,                 1.4674,                 1.2518,             0.00036333,             0.00036333,             0.00036333
                     29,                 1.0897,                 2.4391,                 1.4341,                 1.1848,                0.65301,                0.33726,                 0.3705,                0.26861,                0.64165,                0.33109,                0.35655,                 0.2346,                 1.2667,                 2.8073,                 1.4801,                 1.2482,             0.00036127,             0.00036127,             0.00036127
                     30,                 1.0941,                 2.4154,                 1.4105,                 1.1826,                0.68323,                 0.3362,                0.37702,                0.27357,                0.66324,                0.32682,                0.36036,                0.24019,                 1.2496,                  2.705,                 1.4353,                 1.2528,              0.0003592,              0.0003592,              0.0003592
                     31,                 1.0941,                 2.4148,                 1.3851,                  1.172,                0.65942,                0.34691,                0.37659,                0.27737,                0.64293,                0.33958,                0.36181,                0.24156,                 1.2413,                 2.7275,                 1.4164,                 1.2364,             0.00035714,             0.00035714,             0.00035714
                     32,                 1.0682,                 2.3897,                 1.3763,                 1.1659,                0.69428,                0.33955,                0.37754,                0.27462,                0.67262,                0.33182,                0.36265,                 0.2407,                 1.2347,                  2.729,                 1.4518,                 1.2401,             0.00035508,             0.00035508,             0.00035508
                     33,                 1.0639,                 2.3671,                 1.3711,                 1.1634,                0.66191,                 0.3521,                0.38129,                0.27804,                0.64646,                0.34624,                0.36735,                0.24449,                 1.2393,                 2.7067,                 1.4408,                 1.2413,             0.00035301,             0.00035301,             0.00035301
                     34,                 1.0856,                  2.416,                 1.3522,                 1.1629,                0.72342,                 0.3432,                0.38621,                0.28185,                0.71469,                0.33153,                0.36893,                0.24899,                 1.2377,                 2.7013,                 1.3862,                 1.2344,             0.00035095,             0.00035095,             0.00035095
                     35,                 1.0645,                 2.3681,                  1.349,                 1.1635,                0.66898,                0.35189,                0.39084,                0.28548,                0.66437,                0.34075,                 0.3752,                0.25001,                 1.2276,                 2.6714,                 1.3791,                 1.2342,             0.00034888,             0.00034888,             0.00034888
                     36,                 1.0715,                 2.3742,                 1.3395,                 1.1577,                0.68603,                0.35381,                0.38528,                0.28024,                0.66568,                0.34651,                0.37084,                0.24823,                 1.2153,                  2.673,                 1.3956,                 1.2266,             0.00034682,             0.00034682,             0.00034682
                     37,                 1.0534,                 2.3398,                 1.3238,                 1.1556,                0.69972,                0.35895,                0.39672,                0.29322,                0.69642,                0.34184,                0.37893,                0.25331,                 1.2039,                 2.6792,                 1.3656,                 1.2216,             0.00034475,             0.00034475,             0.00034475
                     38,                 1.0669,                 2.3842,                 1.3325,                 1.1601,                 0.6499,                 0.3628,                0.39781,                0.29514,                0.65937,                0.34808,                0.38113,                0.25695,                 1.2098,                 2.6585,                 1.3496,                 1.2112,             0.00034269,             0.00034269,             0.00034269
                     39,                 1.0552,                 2.3442,                 1.2888,                 1.1569,                0.72323,                0.35662,                0.39805,                0.29003,                0.70717,                0.34395,                0.37993,                0.25509,                 1.2126,                 2.6315,                  1.351,                 1.2166,             0.00034063,             0.00034063,             0.00034063
                     40,                 1.0421,                 2.3388,                 1.2804,                 1.1457,                 0.7063,                0.35929,                 0.3999,                 0.2957,                0.69787,                0.34852,                0.38593,                0.25969,                 1.2075,                 2.6431,                 1.3445,                 1.2241,             0.00033856,             0.00033856,             0.00033856
                     41,                  1.056,                 2.3329,                 1.3001,                 1.1557,                0.71285,                0.36295,                0.40419,                0.29633,                0.71405,                0.35243,                0.38927,                0.25921,                 1.2122,                 2.6586,                 1.3285,                 1.2159,              0.0003365,              0.0003365,              0.0003365
                     42,                 1.0358,                  2.327,                 1.2732,                 1.1453,                 0.6839,                0.37257,                0.40472,                0.30147,                0.68105,                0.35975,                0.38854,                0.26409,                 1.2024,                 2.6518,                 1.3151,                 1.2132,             0.00033443,             0.00033443,             0.00033443
                     43,                 1.0456,                 2.3365,                 1.2749,                 1.1453,                0.71987,                0.35634,                0.40295,                0.29666,                0.69625,                0.35002,                0.38796,                0.26036,                 1.2062,                 2.6074,                 1.3171,                  1.212,             0.00033237,             0.00033237,             0.00033237
                     44,                 1.0427,                 2.3346,                 1.2579,                 1.1444,                0.66959,                0.37393,                0.40662,                0.30011,                0.66401,                0.35934,                 0.3886,                0.26206,                 1.2049,                 2.6635,                 1.3299,                 1.2151,             0.00033031,             0.00033031,             0.00033031
                     45,                 1.0402,                 2.3123,                 1.2515,                 1.1423,                0.75156,                0.36616,                0.41099,                0.30602,                0.73071,                0.35183,                0.39091,                0.26707,                 1.1887,                 2.6367,                 1.2991,                 1.2012,             0.00032824,             0.00032824,             0.00032824
                     46,                  1.031,                 2.2962,                 1.2429,                 1.1317,                0.70615,                0.36559,                 0.4079,                0.30146,                0.70129,                 0.3522,                0.39031,                0.26101,                 1.1885,                 2.6521,                 1.3192,                 1.1932,             0.00032618,             0.00032618,             0.00032618
                     47,                 1.0381,                 2.3201,                  1.256,                 1.1448,                 0.7256,                0.36849,                0.41536,                0.30678,                0.71388,                0.35536,                0.39764,                0.26673,                 1.1853,                 2.6202,                 1.2927,                 1.2026,             0.00032411,             0.00032411,             0.00032411
                     48,                 1.0373,                 2.3137,                  1.243,                 1.1406,                0.70309,                0.37695,                0.41623,                0.30616,                0.70933,                0.36354,                0.39783,                0.26583,                 1.1858,                 2.5945,                 1.3015,                  1.201,             0.00032205,             0.00032205,             0.00032205
                     49,                 1.0295,                 2.2914,                 1.2323,                 1.1326,                0.68675,                0.37678,                0.41329,                0.31107,                0.68925,                0.36245,                0.39737,                0.26993,                 1.1708,                 2.6153,                 1.2911,                 1.1883,             0.00031998,             0.00031998,             0.00031998
                     50,                 1.0132,                 2.2604,                 1.2048,                 1.1294,                0.72392,                0.36835,                0.40845,                0.30639,                0.71623,                0.36106,                0.39469,                0.26749,                 1.1626,                 2.6517,                 1.2807,                 1.1911,             0.00031792,             0.00031792,             0.00031792
                     51,                 1.0225,                 2.2792,                 1.2181,                 1.1341,                0.71346,                0.37569,                0.41404,                0.31118,                0.69954,                0.36668,                0.40061,                0.27324,                 1.1724,                 2.6008,                 1.2682,                 1.1925,             0.00031586,             0.00031586,             0.00031586
                     52,                 1.0265,                 2.2797,                 1.2101,                 1.1387,                0.68895,                0.38706,                0.41851,                0.31577,                0.70539,                0.36581,                0.40039,                0.27501,                 1.1589,                 2.5449,                 1.2472,                 1.1808,             0.00031379,             0.00031379,             0.00031379
                     53,                 1.0241,                  2.283,                 1.2045,                 1.1279,                0.76553,                0.37018,                0.41929,                0.31761,                0.76907,                0.35919,                0.40445,                0.27843,                 1.1582,                 2.5864,                 1.2415,                 1.1719,             0.00031173,             0.00031173,             0.00031173
                     54,                 0.9926,                 2.2324,                 1.1627,                 1.1165,                0.75957,                0.37809,                0.42225,                 0.3181,                0.74676,                0.36761,                0.40486,                0.27615,                  1.155,                 2.5844,                 1.2354,                 1.1865,             0.00030966,             0.00030966,             0.00030966
                     55,                 1.0143,                 2.2778,                 1.1716,                 1.1181,                0.72406,                0.38424,                 0.4227,                0.32101,                0.71489,                0.37566,                 0.4082,                0.28128,                  1.144,                 2.5714,                 1.2173,                 1.1739,              0.0003076,              0.0003076,              0.0003076
                     56,                 1.0049,                 2.2467,                 1.1681,                 1.1176,                 0.7372,                 0.3817,                0.42379,                0.32125,                0.73738,                 0.3663,                0.40581,                0.27889,                 1.1514,                 2.5955,                 1.2221,                 1.1688,             0.00030554,             0.00030554,             0.00030554
                     57,                 1.0221,                 2.2677,                 1.1652,                 1.1232,                0.75941,                 0.3757,                0.42595,                0.32556,                0.75916,                0.36563,                 0.4099,                0.28234,                 1.1495,                 2.5726,                 1.2091,                 1.1707,             0.00030347,             0.00030347,             0.00030347
                     58,                  1.008,                 2.2433,                 1.1586,                 1.1222,                0.74954,                0.38138,                0.42473,                 0.3204,                0.74055,                0.37327,                0.41006,                0.28081,                 1.1363,                 2.5524,                 1.2206,                 1.1605,             0.00030141,             0.00030141,             0.00030141
                     59,                0.99199,                 2.2149,                 1.1553,                 1.1128,                0.71304,                0.38694,                0.42667,                0.32359,                 0.7171,                0.37777,                0.41411,                0.28338,                 1.1424,                 2.5771,                 1.2098,                 1.1649,             0.00029934,             0.00029934,             0.00029934
                     60,                 1.0061,                 2.2504,                 1.1528,                 1.1164,                0.73942,                0.38068,                0.42619,                 0.3222,                0.73434,                 0.3695,                0.40829,                0.28178,                 1.1467,                 2.6002,                 1.2116,                 1.1709,             0.00029728,             0.00029728,             0.00029728
                     61,                0.99716,                 2.2278,                 1.1428,                 1.1155,                0.72062,                0.38926,                0.42861,                0.32638,                0.73852,                0.37244,                0.41313,                0.28356,                 1.1338,                 2.6038,                 1.1998,                 1.1607,             0.00029522,             0.00029522,             0.00029522
                     62,                0.99446,                 2.2159,                 1.1268,                 1.1149,                0.72616,                 0.3893,                0.42786,                0.32481,                0.70491,                0.37836,                0.40984,                 0.2798,                 1.1348,                 2.5327,                 1.2121,                 1.1616,             0.00029315,             0.00029315,             0.00029315
                     63,                0.99194,                 2.2258,                 1.1195,                 1.1089,                0.74721,                0.38386,                0.43487,                 0.3298,                0.74665,                0.37004,                0.41623,                0.28563,                 1.1246,                 2.5589,                 1.1941,                 1.1578,             0.00029109,             0.00029109,             0.00029109
                     64,                 1.0097,                 2.2525,                 1.1348,                  1.115,                0.73456,                 0.3928,                0.43385,                0.33042,                0.75203,                0.37452,                0.41826,                0.28902,                 1.1264,                 2.5211,                 1.1998,                 1.1573,             0.00028902,             0.00028902,             0.00028902
                     65,                0.97456,                 2.1908,                 1.1095,                 1.1084,                0.76328,                0.38442,                0.43473,                0.33474,                0.74526,                0.37568,                0.41827,                0.28887,                 1.1175,                 2.5278,                 1.1724,                 1.1529,             0.00028696,             0.00028696,             0.00028696
                     66,                0.98051,                  2.194,                 1.0979,                    1.1,                0.78236,                 0.3892,                0.44041,                0.33722,                0.76078,                0.38241,                0.42399,                0.29293,                 1.1189,                 2.5307,                  1.155,                 1.1461,             0.00028489,             0.00028489,             0.00028489
                     67,                0.98451,                 2.1976,                 1.1006,                 1.1011,                0.77363,                0.38674,                0.43785,                0.33266,                 0.7708,                0.37572,                0.42073,                0.28808,                 1.1246,                 2.5326,                  1.182,                 1.1564,             0.00028283,             0.00028283,             0.00028283
                     68,                0.97611,                 2.1761,                 1.1023,                  1.108,                0.77542,                0.38647,                 0.4365,                 0.3343,                0.76449,                0.37425,                0.41855,                0.29033,                 1.1132,                  2.546,                 1.1614,                  1.146,             0.00028077,             0.00028077,             0.00028077
                     69,                0.99904,                  2.228,                  1.126,                 1.1103,                0.76349,                0.38718,                0.43558,                0.33186,                0.75552,                0.37645,                0.41925,                  0.288,                 1.1286,                 2.5056,                 1.1678,                 1.1536,              0.0002787,              0.0002787,              0.0002787
                     70,                0.98924,                 2.2005,                 1.0955,                 1.1053,                0.76424,                0.39202,                0.43846,                0.33855,                0.74832,                0.38223,                0.42188,                0.29147,                 1.1119,                 2.5571,                 1.1451,                 1.1387,             0.00027664,             0.00027664,             0.00027664
                     71,                0.99204,                  2.219,                 1.0882,                 1.1053,                 0.7541,                0.39781,                0.44148,                0.33784,                0.76013,                0.37999,                0.42468,                0.29583,                 1.1092,                 2.5132,                 1.1433,                 1.1464,             0.00027457,             0.00027457,             0.00027457
                     72,                0.96206,                 2.1532,                 1.0575,                 1.0891,                0.78571,                0.38903,                0.44236,                0.33877,                0.74695,                0.38315,                0.42531,                0.29595,                 1.1026,                 2.5045,                 1.1316,                   1.14,             0.00027251,             0.00027251,             0.00027251
                     73,                0.98376,                 2.2098,                  1.077,                 1.0961,                0.74689,                0.39818,                 0.4392,                0.33417,                0.72841,                0.38404,                0.41681,                0.28779,                  1.118,                 2.5492,                 1.1611,                 1.1436,             0.00027045,             0.00027045,             0.00027045
                     74,                0.95959,                  2.148,                 1.0646,                 1.0934,                0.78678,                0.38853,                0.44522,                0.34238,                0.76657,                0.38153,                  0.426,                0.29565,                 1.0993,                 2.5029,                 1.1238,                 1.1341,             0.00026838,             0.00026838,             0.00026838
                     75,                0.98157,                 2.2012,                 1.0686,                 1.1015,                 0.7512,                0.39982,                0.44699,                0.34193,                0.76078,                0.38385,                0.42999,                0.29672,                 1.0956,                 2.4787,                 1.1218,                 1.1348,             0.00026632,             0.00026632,             0.00026632
                     76,                0.97727,                 2.1811,                 1.0693,                 1.0974,                0.75329,                0.40335,                0.44772,                0.34501,                0.73279,                0.39257,                0.42883,                0.29966,                  1.101,                 2.4976,                 1.1232,                 1.1365,             0.00026425,             0.00026425,             0.00026425
                     77,                0.96967,                 2.1783,                 1.0526,                 1.0897,                0.75886,                0.40183,                0.44949,                0.34404,                0.77484,                 0.3863,                0.43092,                0.29898,                 1.0962,                 2.4985,                 1.1094,                 1.1353,             0.00026219,             0.00026219,             0.00026219
                     78,                0.95432,                 2.1437,                 1.0298,                 1.0873,                0.75337,                0.40437,                 0.4463,                0.34016,                0.75444,                0.38755,                0.42759,                0.29513,                 1.0969,                 2.4839,                 1.1132,                 1.1365,             0.00026012,             0.00026012,             0.00026012
                     79,                0.96847,                 2.1744,                 1.0614,                 1.0947,                0.75184,                0.41049,                0.44995,                0.34685,                 0.7414,                0.39582,                0.43073,                0.29861,                 1.0876,                  2.508,                 1.1029,                 1.1293,             0.00025806,             0.00025806,             0.00025806
                     80,                0.95482,                 2.1593,                 1.0378,                 1.0885,                0.76744,                0.40915,                 0.4559,                0.35197,                0.77167,                0.39153,                0.43426,                0.30156,                 1.0744,                  2.474,                 1.0893,                 1.1218,               0.000256,               0.000256,               0.000256
                     81,                0.96888,                 2.1663,                 1.0494,                 1.0922,                0.78692,                0.40319,                0.44918,                0.34501,                0.77972,                0.39139,                0.42932,                0.29754,                 1.0867,                 2.4769,                 1.1187,                 1.1232,             0.00025393,             0.00025393,             0.00025393
                     82,                0.96416,                 2.1455,                  1.028,                 1.0876,                0.80174,                0.40345,                0.45439,                 0.3508,                0.78627,                 0.3904,                0.43424,                0.30338,                 1.0813,                 2.5072,                 1.0985,                 1.1245,             0.00025187,             0.00025187,             0.00025187
                     83,                0.94617,                 2.1279,                 1.0286,                 1.0856,                 0.8234,                0.39478,                 0.4524,                0.34868,                0.81993,                0.38412,                0.43734,                0.30243,                 1.0699,                 2.4949,                 1.0986,                 1.1257,              0.0002498,              0.0002498,              0.0002498
                     84,                0.94156,                 2.1116,                 1.0184,                 1.0836,                0.80014,                0.40295,                0.45408,                0.34973,                0.77917,                0.39493,                 0.4373,                0.30285,                 1.0672,                 2.4539,                 1.0874,                 1.1157,             0.00024774,             0.00024774,             0.00024774
                     85,                0.93996,                  2.101,                 1.0016,                 1.0766,                0.79217,                0.40514,                0.45394,                0.35122,                0.77585,                0.39827,                0.43814,                0.30375,                 1.0745,                 2.4854,                 1.0841,                 1.1194,             0.00024568,             0.00024568,             0.00024568
                     86,                0.94372,                 2.1175,                 1.0158,                 1.0811,                 0.7692,                0.41179,                0.45815,                0.35525,                0.79182,                0.39322,                0.43949,                0.30768,                 1.0623,                 2.4732,                 1.0699,                 1.1163,             0.00024361,             0.00024361,             0.00024361
                     87,                0.93591,                 2.0871,                0.99889,                 1.0772,                0.78161,                 0.4127,                0.46116,                0.35501,                0.76472,                0.40288,                0.44369,                 0.3068,                 1.0666,                 2.4638,                 1.0773,                 1.1164,             0.00024155,             0.00024155,             0.00024155
                     88,                0.94347,                 2.1256,                 1.0063,                 1.0767,                 0.7727,                0.41291,                0.45703,                0.35424,                0.77238,                0.39825,                0.43995,                0.30563,                 1.0624,                 2.4489,                 1.0753,                 1.1192,             0.00023948,             0.00023948,             0.00023948
                     89,                0.94546,                 2.1247,                0.99926,                  1.074,                 0.7473,                0.41987,                0.46033,                0.35593,                0.77367,                0.39417,                0.43809,                0.30355,                 1.0638,                  2.446,                 1.0754,                 1.1098,             0.00023742,             0.00023742,             0.00023742
                     90,                0.93842,                 2.1084,                0.99331,                  1.077,                0.77118,                0.41697,                0.46035,                0.35466,                0.76816,                0.40141,                0.44298,                0.30416,                 1.0649,                 2.4703,                 1.0659,                 1.1125,             0.00023535,             0.00023535,             0.00023535
                     91,                0.94718,                 2.1196,                 1.0089,                  1.074,                0.81365,                0.40011,                0.45574,                0.35051,                0.79565,                0.38946,                0.43526,                0.30104,                 1.0671,                 2.4625,                 1.0925,                 1.1118,             0.00023329,             0.00023329,             0.00023329
                     92,                0.92854,                 2.1078,                0.99294,                  1.075,                0.78971,                0.41449,                0.46068,                0.35728,                0.78988,                 0.3996,                0.44017,                0.30903,                   1.06,                 2.4465,                 1.0641,                 1.1144,             0.00023123,             0.00023123,             0.00023123
                     93,                0.93777,                  2.095,                 0.9904,                 1.0753,                0.78894,                0.40905,                 0.4605,                0.35427,                0.78702,                0.39603,                0.43991,                0.30456,                 1.0728,                 2.4528,                 1.0756,                 1.1219,             0.00022916,             0.00022916,             0.00022916
                     94,                0.92905,                  2.073,                0.99662,                 1.0727,                0.81672,                0.40629,                0.46183,                0.35677,                0.79933,                0.39719,                0.44394,                0.31039,                 1.0525,                 2.4449,                 1.0473,                   1.11,              0.0002271,              0.0002271,              0.0002271
                     95,                0.93234,                  2.087,                0.98546,                 1.0718,                0.79368,                0.41447,                0.46078,                0.35848,                0.80125,                0.39591,                0.44263,                0.30939,                 1.0479,                 2.4367,                 1.0521,                 1.1072,             0.00022503,             0.00022503,             0.00022503
                     96,                0.92897,                 2.0985,                0.97085,                 1.0699,                0.78801,                0.41524,                0.46492,                0.36065,                0.77454,                0.39987,                0.44545,                0.31205,                  1.052,                 2.4466,                 1.0521,                  1.106,             0.00022297,             0.00022297,             0.00022297
                     97,                0.93005,                 2.0861,                0.97175,                 1.0688,                0.79088,                0.41604,                0.46517,                0.36141,                0.77277,                0.40508,                 0.4472,                0.31386,                 1.0472,                 2.4165,                 1.0422,                 1.1069,             0.00022091,             0.00022091,             0.00022091
                     98,                0.92625,                 2.0769,                0.96725,                 1.0703,                0.75053,                 0.4267,                0.46186,                0.35668,                0.79354,                0.39632,                0.44194,                0.30601,                 1.0578,                 2.4431,                 1.0667,                 1.1135,             0.00021884,             0.00021884,             0.00021884
                     99,                0.92502,                 2.0745,                0.96334,                 1.0701,                0.78968,                0.41675,                0.46291,                 0.3622,                0.78616,                0.40323,                0.44634,                0.31332,                   1.05,                 2.4425,                 1.0474,                  1.106,             0.00021678,             0.00021678,             0.00021678
                    100,                0.92011,                 2.0721,                0.95154,                 1.0619,                0.76761,                0.42419,                0.46461,                 0.3623,                0.81362,                 0.3949,                0.44422,                0.31215,                  1.038,                 2.4329,                  1.035,                 1.0965,             0.00021471,             0.00021471,             0.00021471
                    101,                0.93387,                 2.0988,                0.96998,                 1.0667,                0.74872,                 0.4246,                0.46516,                0.36315,                0.73668,                0.40817,                0.44583,                0.31263,                 1.0436,                 2.4406,                 1.0384,                  1.097,             0.00021265,             0.00021265,             0.00021265
                    102,                0.90227,                 2.0145,                 0.9501,                 1.0606,                0.81507,                0.41241,                0.46752,                0.36503,                0.82958,                0.39604,                  0.449,                0.31485,                 1.0437,                 2.4307,                  1.043,                 1.0995,             0.00021059,             0.00021059,             0.00021059
                    103,                0.91293,                 2.0593,                0.95124,                 1.0612,                0.81266,                0.41394,                0.46527,                0.36124,                0.82986,                0.39792,                0.44757,                0.31258,                 1.0369,                 2.4148,                 1.0309,                 1.0998,             0.00020852,             0.00020852,             0.00020852
                    104,                 0.9227,                 2.0662,                0.95584,                 1.0641,                0.77848,                0.42439,                0.46887,                0.36568,                 0.7599,                0.41311,                 0.4495,                0.31502,                  1.037,                 2.4091,                 1.0186,                 1.0956,             0.00020646,             0.00020646,             0.00020646
                    105,                0.91333,                 2.0637,                0.93333,                 1.0585,                0.82716,                 0.4125,                 0.4688,                0.36702,                0.81048,                0.40478,                 0.4505,                0.31533,                 1.0322,                 2.4059,                 1.0238,                 1.0946,             0.00020439,             0.00020439,             0.00020439
