                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4665,                 3.2183,                 2.4907,                 1.0575,                0.63579,                0.28924,                0.31578,                0.22826,                0.62725,                0.27646,                0.29911,                0.18734,                 1.5466,                 3.4869,                 2.4335,                 1.0568,              0.0097529,              0.0097529,              0.0097529
                     25,                 1.4624,                 3.2081,                 2.4406,                 1.0528,                 0.6312,                0.28782,                0.31261,                0.22512,                0.63083,                0.27311,                0.29548,                 0.1839,                 1.5647,                 3.5106,                 2.4815,                 1.0764,              0.0097326,              0.0097326,              0.0097326
                     26,                 1.4596,                  3.169,                 2.4324,                 1.0528,                0.62306,                0.29195,                0.31664,                0.22556,                0.59637,                0.27993,                0.29681,                0.17885,                 1.5649,                 3.5182,                 2.4543,                 1.0662,              0.0097123,              0.0097123,              0.0097123
                     27,                 1.4625,                 3.1783,                 2.4146,                 1.0552,                0.63133,                0.30144,                0.32942,                0.24014,                0.63183,                0.28699,                0.31203,                0.19631,                 1.5226,                 3.4162,                 2.3519,                 1.0535,               0.009692,               0.009692,               0.009692
                     28,                 1.4313,                 3.1577,                 2.4064,                 1.0438,                0.59202,                0.31115,                0.32936,                0.23581,                0.56779,                 0.2994,                0.30909,                0.18991,                 1.5495,                 3.5218,                 2.3536,                 1.0563,              0.0096717,              0.0096717,              0.0096717
                     29,                 1.4433,                 3.1059,                 2.3979,                 1.0422,                0.57006,                0.28962,                0.30273,                0.21766,                0.56125,                0.27593,                0.28456,                0.17486,                 1.5928,                 3.5892,                 2.5369,                 1.0759,              0.0096513,              0.0096513,              0.0096513
                     30,                 1.4167,                 3.0964,                 2.3587,                 1.0344,                0.62829,                0.30655,                0.33139,                0.24164,                0.60508,                 0.2903,                0.30675,                0.18987,                 1.5054,                 3.4857,                 2.3414,                 1.0384,               0.009631,               0.009631,               0.009631
                     31,                 1.4428,                 3.1509,                 2.3478,                 1.0402,                0.60619,                0.29652,                0.32667,                0.23745,                0.60367,                0.28255,                0.31032,                 0.1946,                 1.5119,                 3.4714,                 2.3669,                 1.0424,              0.0096107,              0.0096107,              0.0096107
                     32,                 1.4221,                 3.1095,                 2.3449,                 1.0407,                0.58555,                0.28753,                   0.31,                0.22359,                0.57482,                0.27222,                0.29198,                0.18136,                 1.5415,                 3.5144,                 2.4183,                  1.057,              0.0095904,              0.0095904,              0.0095904
                     33,                 1.4139,                 3.1081,                  2.311,                 1.0355,                0.62097,                0.31023,                0.33183,                0.24014,                0.59395,                0.29442,                0.30792,                 0.1895,                 1.5067,                 3.4286,                 2.3005,                 1.0458,                0.00957,                0.00957,                0.00957
